id,userid,newuser,date,time,action,productid,producte,category,price,discount,profit,age,gender,location
52,78901,no,2022-04-08,4:15,purchase,1010,Necklace,Jewelry,80,0.0,4.0,44,Female,"Mi, FL"
93,34567,no,2022-05-07,5:45,purchase,1003,T-Shirt,Clothing,20,0.0,2.0,39,Female,"Philadelphia, PA"
19,12345,no,2022-02-03,14:30:00,purchase,1001,Shoes,Footwear,80,0.1,8.0,37,Female,"New York, NY"
244,12345,no,2022-08-28,2:30,purchase,1016,Watch,Accessories,60,0.0,6.0,33,Male,"Mi, FL"
189,90123,no,2022-07-08,5:45,purchase,1001,Jeans,Clothing,75,0.0,7.5,26,Male,"San Francisco, CA"
58,45678,no,2022-03-18,8:00,purchase,1002,T-Shirt,Clothing,20,0.0,2.0,29,Female,"New York, NY"
161,89012,yes,2022-04-03,5:45,browse,1003,Jacket,Clothing,100,0.05,10.0,27,Female,"Los Angeles, CA"
84,34567,no,2022-04-11,2:30,purchase,1008,Smartphone,Electronics,800,0.0,40.0,44,Female,"Portland, OR"
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
98,89012,yes,2022-06-15,8:00,browse,1023,Backpack,Accessories,60,0.05,6.0,25,Female,"Chicago, IL"
158,56789,yes,2022-06-07,8:00,browse,1014,Earrings,Jewelry,35,0.05,1.75,28,Female,"Chicago, IL"
58,45678,no,2022-03-18,8:00,purchase,1002,T-Shirt,Clothing,20,0.0,2.0,29,Female,"New York, NY"
74,23456,yes,2022-07-29,8:00,browse,1019,Wallet,Accessories,35,0.05,3.5,27,Male,"Las Vegas, NV"
44,89012,no,2022-04-26,1:45,purchase,1010,Necklace,Jewelry,80,0.0,4.0,36,Nonbinary,"Boston, MA"
62,89012,yes,2022-07-11,8:00,browse,1016,Bracelet,Jewelry,35,0.05,3.5,28,Female,"Phoenix, AZ"
9,90123,yes,2022-01-23,12:45:00,purchase,1009,Headphones,Electronics,150,0.05,15.0,21,Female,"Philadelphia, PA"
122,56789,yes,2022-08-05,8:00,browse,1023,Watch,Accessories,120,0.05,12.0,31,Female,"New York, NY"
82,12345,no,2022-04-04,8:00,addtocart,1014,Ring,Jewelry,60,0.1,6.0,31,Female,Washington D.C.
169,78901,no,2022-05-29,5:45,addtocart,1009,Skirt,Clothing,50,0.1,2.5,28,Male,"Portland, OR"
12,34567,no,2022-08-27,13:15:00,purchase,1004,Hat,Accessories,20,0.05,1.0,35,Male,"Chicago, IL"
161,89012,yes,2022-04-03,5:45,browse,1003,Jacket,Clothing,100,0.05,10.0,27,Female,"Los Angeles, CA"
140,56789,yes,2022-08-30,2:30,browse,1023,Hat,Accessories,15,0.05,1.75,39,Female,"Houston, TX"
218,23456,yes,2022-02-19,8:00,browse,1020,Scarf,Accessories,20,0.05,10.0,25,Female,"Portland, OR"
84,34567,no,2022-03-07,2:30,purchase,1008,Smartphone,Electronics,500,0.0,50.0,44,Female,"Portland, OR"
88,78901,no,2022-04-22,2:30,addtocart,1019,Backpack,Accessories,70,0.1,7.0,39,Male,"Atlanta, GA"
86,56789,yes,2022-05-07,8:00,browse,1022,Gloves,Accessories,20,0.05,2.0,27,Male,"Mi, FL"
98,89012,yes,2022-08-02,8:00,browse,1023,Scarf,Accessories,30,0.05,3.0,25,Female,"Chicago, IL"
189,90123,no,2022-03-26,5:45,purchase,1001,Hoodie,Clothing,50,0.0,2.5,36,Female,"San Francisco, CA"
88,78901,no,2022-04-17,2:30,addtocart,1019,era,Electronics,500,0.1,50.0,33,Male,"Atlanta, GA"
90,90123,no,2022-02-10,8:00,purchase,1007,Laptop,Electronics,1200,0.0,120.0,42,Male,"New Orleans, LA"
167,56789,yes,2022-07-10,11:15,browse,1007,Sweatshirt,Clothing,45,0.05,2.25,25,Male,"Atlanta, GA"
110,23456,yes,2022-04-20,8:00,browse,1004,Jeans,Clothing,50,0.05,2.5,24,Male,"Philadelphia, PA"
113,56789,yes,2022-08-13,5:45,browse,1022,Socks,Clothing,10,0.05,0.5,22,Female,"Atlanta, GA"
223,78901,no,2022-03-04,11:15,purchase,1004,Hoodie,Clothing,50,0.0,5.0,39,Male,"New York, NY"
199,12345,no,2022-06-19,11:15,browse,1017,Ring,Jewelry,40,0.05,2.0,33,Male,"San Antonio, TX"
72,90123,no,2022-03-16,2:30,addtocart,1003,Sweatshirt,Clothing,40,0.1,4.0,36,Male,"Austin, TX"
144,90123,no,2022-04-24,2:30,purchase,1017,Wallet,Accessories,40,0.0,4.0,33,Male,"Mi, FL"
137,23456,yes,2022-05-24,5:45,browse,1020,Wallet,Accessories,40,0.05,4.0,30,Male,"Seattle, WA"
236,23456,yes,2022-08-27,2:30,browse,1004,Jeans,Clothing,60,0.05,3.0,24,Female,"New York, NY"
48,34567,no,2022-02-17,3:15,purchase,1004,Jeans,Clothing,60,0.0,3.6,42,Male,"San Diego, CA"
181,12345,no,2022-04-04,5:45,addtocart,1013,Necklace,Jewelry,60,0.1,6.0,26,Female,"Phoenix, AZ"
218,23456,yes,2022-01-26,8:00,browse,1020,Belt,Accessories,30,0.05,2.0,25,Female,"Portland, OR"
97,78901,no,2022-03-06,5:45,addtocart,1011,Headphones,Electronics,100,0.1,10.0,28,Male,"Houston, TX"
227,23456,yes,2022-06-22,11:15,browse,1019,Earrings,Jewelry,25,0.05,1.25,24,Female,"Seattle, WA"
9,90123,yes,2022-01-09,12:45:00,purchase,1009,Headphones,Electronics,15,0.05,7.5,21,Female,"Philadelphia, PA"
18,90123,yes,2022-02-09,12:00:00,purchase,1003,T-Shirt,Clothing,30,0.05,1.5,31,Male,"Philadelphia, PA"
112,45678,no,2022-06-06,2:30,addtocart,1019,Backpack,Accessories,70,0.1,7.0,30,Male,"Las Vegas, NV"
194,56789,yes,2022-07-13,8:00,browse,1024,Wallet,Accessories,20,0.15,1.0,39,Female,"Chicago, IL"
124,34567,no,2022-06-30,2:30,purchase,1015,Necklace,Jewelry,60,0.0,6.0,33,Male,"Mi, FL"
237,34567,no,2022-04-25,5:45,addtocart,1020,Necklace,Jewelry,45,0.1,4.5,36,Male,"San Diego, CA"
218,23456,yes,2022-07-19,8:00,browse,1020,Belt,Accessories,30,0.05,3.0,25,Female,"Portland, OR"
218,23456,yes,2022-01-26,8:00,browse,1020,Belt,Accessories,30,0.05,2.0,25,Female,"Portland, OR"
26,89012,yes,2022-01-26,10:30:00,browse,1018,Belt,Accessories,30,0.05,2.0,28,Female,"Boston, MA"
12,34567,no,2022-01-12,13:15:00,purchase,1004,Hat,Accessories,20,0.05,1.0,35,Female,"Chicago, IL"
236,23456,yes,2022-02-09,2:30,browse,1004,T-Shirt,Clothing,30,0.05,1.5,24,Female,"New York, NY"
211,45678,no,2022-08-24,11:15,purchase,1024,Necklace,Jewelry,40,0.0,2.0,35,Female,"Los Angeles, CA"
123,67890,no,2022-05-03,11:15,purchase,1008,Dress,Clothing,60,0.05,6.0,27,Male,"San Francisco, CA"
57,78901,no,2022-02-26,5:45,purchase,1020,Sunglasses,Accessories,60,0.0,6.0,42,Male,"New Orleans, LA"
98,89012,yes,2022-08-02,8:00,browse,1023,Scarf,Accessories,30,0.05,3.0,25,Female,"Chicago, IL"
224,89012,yes,2022-02-25,2:30,browse,1009,Socks,Accessories,50,0.05,2.5,26,Female,"Chicago, IL"
86,56789,yes,2022-04-08,8:00,browse,1022,Sunglasses,Accessories,80,0.05,4.0,27,Male,"Mi, FL"
61,78901,no,2022-04-19,5:45,purchase,1009,Tablet,Electronics,300,0.0,30.0,44,Male,"Los Angeles, CA"
4,45678,no,2022-01-24,13:00:00,addtocart,1004,Hat,Accessories,20,0.05,1.0,19,Nonbinary,"San Francisco, CA"
169,78901,no,2022-05-13,5:45,addtocart,1009,Skirt,Clothing,50,0.1,2.5,28,Male,"Portland, OR"
52,78901,no,2022-04-26,4:15,purchase,1010,Necklace,Jewelry,80,0.0,4.0,44,Female,"Mi, FL"
132,67890,no,2022-08-25,2:30,purchase,1021,Belt,Accessories,20,0.0,2.0,36,Male,"New York, NY"
242,89012,yes,2022-06-24,8:00,browse,1017,Wallet,Accessories,40,0.05,4.0,23,Female,"Portland, OR"
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
133,78901,no,2022-05-29,5:45,addtocart,1009,Skirt,Clothing,50,0.1,2.5,32,Female,"San Francisco, CA"
172,12345,no,2022-08-27,2:30,addtocart,1021,Sunglasses,Accessories,30,0.1,1.5,30,Female,"Seattle, WA"
133,78901,no,2022-05-29,5:45,addtocart,1009,Skirt,Clothing,50,0.1,2.5,32,Female,"San Francisco, CA"
54,90123,yes,2022-02-23,9:45,browse,1008,era,Electronics,300,0.05,30.0,23,Female,"San Francisco, CA"
90,90123,no,2022-04-01,11:15,purchase,1021,Hat,Accessories,25,0.0,2.5,42,Male,"New Orleans, LA"
27,90123,yes,2022-05-21,13:00:00,purchase,1002,Jacket,Clothing,80,0.1,8.0,42,Female,"Austin, TX"
149,56789,yes,2022-05-13,5:45,browse,1009,Skirt,Clothing,45,0.05,4.5,34,Male,"Phoenix, AZ"
211,45678,no,2022-08-24,11:15,purchase,1024,Necklace,Jewelry,40,0.0,2.0,35,Female,"Los Angeles, CA"
98,89012,yes,2022-08-02,8:00,browse,1023,Scarf,Accessories,30,0.05,3.0,25,Female,"Chicago, IL"
34,78901,yes,2022-01-19,13:45,purchase,1001,Shoes,Footwear,80,0.1,8.0,23,Nonbinary,"Philadelphia, PA"
149,56789,yes,2022-06-18,5:45,browse,1009,Skirt,Clothing,50,0.05,5.0,34,Male,"Phoenix, AZ"
44,89012,no,2022-02-18,1:45,purchase,1019,Backpack,Accessories,75,0.0,11.25,36,Nonbinary,"Boston, MA"
168,67890,no,2022-06-06,2:30,purchase,1015,Dress,Clothing,75,0.0,7.5,42,Female,"San Diego, CA"
12,34567,no,2022-08-27,13:15:00,purchase,1004,Hat,Accessories,20,0.05,1.0,35,Male,"Chicago, IL"
161,89012,yes,2022-06-10,5:45,browse,1003,Jacket,Clothing,100,0.2,5.0,42,Female,"Los Angeles, CA"
60,67890,no,2022-04-14,2:30,addtocart,1015,Earrings,Jewelry,40,0.1,2.0,32,Female,"Washington, D.C."
231,67890,no,2022-01-01,11:15,addtocart,1010,Hat,Accessories,25,0.1,2.5,31,Female,"Portland, OR"
37,12345,yes,2022-04-07,13:00,purchase,1006,Headphones,Electronics,100,0.1,10.0,33,Male,"Atlanta, GA"
84,34567,no,2022-03-07,2:30,purchase,1008,Smartphone,Electronics,500,0.0,50.0,44,Female,"Portland, OR"
218,23456,yes,2022-07-19,8:00,browse,1020,Belt,Accessories,30,0.05,3.0,25,Female,"Portland, OR"
190,12345,no,2022-07-01,8:00,addtocart,1023,Backpack,Accessories,70,0.1,3.5,27,Male,"Dallas, TX"
166,45678,no,2022-07-09,8:00,addtocart,1023,Backpack,Accessories,60,0.1,6.0,36,Female,"Austin, TX"
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
34,78901,yes,2022-01-19,13:45,purchase,1001,Shoes,Footwear,80,0.1,8.0,23,Female,"Philadelphia, PA"
10,12345,no,2022-06-20,17:00:00,purchase,1010,Dress,Clothing,75,0.1,7.5,28,Male,"New York, NY"
170,89012,yes,2022-06-19,8:00,browse,1012,Ring,Jewelry,40,0.05,2.0,28,Female,"Boston, MA"
171,90123,no,2022-03-30,11:15,purchase,1010,Necklace,Jewelry,70,0.0,3.0,55,Male,"Chicago, IL"
231,67890,no,2022-08-06,11:15,addtocart,1010,Scarf,Accessories,30,0.1,1.5,31,Female,"Portland, OR"
66,34567,no,2022-06-15,8:00,addtocart,1023,Backpack,Accessories,60,0.1,6.0,42,Male,"Dallas, TX"
189,90123,no,2022-03-06,5:45,purchase,1001,Jeans,Clothing,50,0.0,5.0,36,Female,"San Francisco, CA"
161,89012,yes,2022-02-09,5:45,browse,1003,T-Shirt,Clothing,30,0.05,1.5,27,Female,"Los Angeles, CA"
148,45678,no,2022-08-18,2:30,addtocart,1021,Scarf,Accessories,15,0.1,0.75,27,Female,"Denver, CO"
224,89012,yes,2022-04-23,2:30,browse,1009,Socks,Accessories,10,0.05,0.5,26,Female,"Chicago, IL"
30,34567,no,2022-01-30,11:45:00,browse,1008,Smartphone,Electronics,800,0.05,80.0,46,Female,"New York, NY"
166,45678,no,2022-07-09,8:00,addtocart,1023,Backpack,Accessories,60,0.1,6.0,36,Female,"Austin, TX"
241,78901,no,2022-06-15,5:45,purchase,1013,Backpack,Accessories,60,0.0,6.0,42,Male,"Los Angeles, CA"
96,67890,no,2022-04-17,2:30,purchase,1018,era,Electronics,500,0.0,50.0,41,Female,"Portland, OR"
62,89012,yes,2022-03-26,8:00,browse,1016,Bracelet,Jewelry,30,0.05,1.5,28,Female,"Phoenix, AZ"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
98,89012,yes,2022-06-15,8:00,browse,1023,Backpack,Accessories,60,0.05,6.0,25,Female,"Chicago, IL"
109,12345,no,2022-03-19,5:45,purchase,1009,Tablet,Electronics,800,0.0,80.0,39,Female,"Denver, CO"
18,90123,no,2022-01-18,12:00:00,purchase,1003,T-Shirt,Clothing,25,0.0,1.25,41,Male,"Philadelphia, PA"
34,78901,yes,2022-01-19,13:45,purchase,1001,Shoes,Footwear,80,0.1,8.0,23,Nonbinary,"Philadelphia, PA"
217,12345,no,2022-07-12,5:45,purchase,1019,Hat,Accessories,25,0.0,2.5,41,Male,"Mi, FL"
149,56789,yes,2022-06-18,5:45,browse,1009,Skirt,Clothing,50,0.05,5.0,34,Male,"Phoenix, AZ"
216,90123,no,2022-04-09,2:30,addtocart,1005,T-shirt,Clothing,25,0.05,2.5,29,Female,"Boston, MA"
37,12345,yes,2022-04-07,13:00,purchase,1006,Headphones,Electronics,100,0.1,10.0,33,Male,"Atlanta, GA"
166,45678,no,2022-05-20,8:00,addtocart,1023,Hat,Accessories,15,0.1,0.75,36,Female,"Austin, TX"
54,67890,no,2022-05-23,8:00,purchase,1002,T-Shirt,Clothing,20,0.0,1.0,47,Female,"Washington D.C., DC"
166,45678,no,2022-05-20,8:00,addtocart,1023,Hat,Accessories,15,0.1,0.75,36,Female,"Austin, TX"
47,23456,yes,2022-02-16,12:00,browse,1012,Dress,Clothing,90,0.05,4.5,24,Female,"Seattle, WA"
190,12345,no,2022-08-05,8:00,addtocart,1023,Watch,Accessories,120,0.1,12.0,27,Male,"Dallas, TX"
130,45678,no,2022-04-20,8:00,addtocart,1004,Jeans,Clothing,50,0.1,2.5,28,Male,"Houston, TX"
127,34567,no,2022-05-07,11:15,purchase,1019,Scarf,Accessories,20,0.0,2.0,41,Male,"Dallas, TX"
133,78901,no,2022-05-29,5:45,addtocart,1009,Skirt,Clothing,50,0.1,2.5,32,Female,"San Francisco, CA"
48,34567,no,2022-02-17,3:15,addtocart,1004,Jeans,Clothing,60,0.1,3.6,29,Female,"San Diego, CA"
71,89012,yes,2022-08-14,11:15,browse,1018,Sunglasses,Accessories,50,0.05,5.0,23,Female,"Atlanta, GA"
122,56789,yes,2022-07-01,8:00,browse,1023,Backpack,Accessories,70,0.05,3.5,31,Female,"New York, NY"
177,67890,no,2022-06-05,5:45,purchase,1005,T-Shirt,Clothing,20,0.0,2.0,48,Female,"Los Angeles, CA"
86,56789,yes,2022-06-19,8:00,browse,1012,Ring,Jewelry,40,0.05,2.0,27,Male,"Mi, FL"
68,56789,yes,2022-04-30,2:30,browse,1014,Necklace,Jewelry,70,0.05,7.0,26,Male,"Mi, FL"
98,89012,yes,2022-08-02,8:00,browse,1023,Scarf,Accessories,30,0.05,3.0,25,Female,"Chicago, IL"
194,56789,yes,2022-07-13,8:00,browse,1024,Wallet,Accessories,20,0.05,1.0,25,Female,"Chicago, IL"
218,23456,yes,2022-01-26,8:00,browse,1020,Belt,Accessories,30,0.05,2.0,25,Female,"Portland, OR"
197,89012,yes,2022-03-27,5:45,addtocart,1022,Sunglasses,Accessories,120,0.1,6.0,20,Male,"Austin, TX"
122,56789,yes,2022-07-02,8:00,browse,1023,Hat,Accessories,45,0.05,4.5,31,Female,"New York, NY"
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
86,56789,yes,2022-08-07,8:00,browse,1022,Sunglasses,Accessories,120,0.05,6.0,27,Male,"Mi, FL"
98,89012,yes,2022-08-02,8:00,browse,1023,Scarf,Accessories,30,0.05,3.0,25,Female,"Chicago, IL"
207,90123,no,2022-04-18,11:15,browse,1021,Hat,Accessories,20,0.05,2.0,44,Female,"New York, NY"
202,45678,yes,2022-06-11,8:00,addtocart,1017,Sunglasses,Accessories,40,0.05,4.0,19,Male,"Los Angeles, CA"
17,89012,no,2022-01-17,9:00:00,addtocart,1015,Sneakers,Footwear,120,0.1,6.0,32,Male,"Austin, TX"
223,78901,no,2022-04-21,11:15,purchase,1004,Hoodie,Clothing,80,0.0,8.0,39,Male,"New York, NY"
120,34567,no,2022-06-30,2:30,purchase,1014,Necklace,Jewelry,70,0.0,7.0,36,Female,"Houston, TX"
60,67890,no,2022-04-14,2:30,addtocart,1015,Earrings,Jewelry,40,0.1,2.0,32,Female,"Washington, D.C."
128,23456,yes,2022-04-23,2:30,browse,1022,Socks,Accessories,10,0.05,0.5,30,Male,"Boston, MA"
127,12345,no,2022-05-07,11:15,purchase,1019,Scarf,Accessories,20,0.0,2.0,41,Male,"Chicago, IL"
